Known As,Full Name,Overall,Potential,Value(in Euro),Positions Played,Best Position,Nationality,Age,Height(in cm),Weight(in kg),TotalStats,BaseStats,Club Name
R. Jiménez,Raúl Jiménez,82,82,25500000,ST,ST,Mexico,31,188,81,2073,439,Wolverhampton Wanderers
Josué Chiamulera,Josué Durval Chiamulera Vaz,82,82,25000000,CB,CB,Brazil,30,185,80,1885,405,Club Athletico Paranaense
Lucas Mantela,Lucas Luciano Mantela Patrício,82,82,27000000,GK,GK,Brazil,22,183,77,1297,444,Palmeiras
B. Chilwell,Ben Chilwell,82,85,37000000,"LWB,LB",LWB,England,25,180,77,2106,445,Chelsea
André Silva,André Miguel Valente da Silva,82,84,38000000,ST,ST,Portugal,26,185,84,2067,434,RB Leipzig
C. Pulisic,Christian Pulisic,82,88,48000000,"LW,RW,LM",RM,United States,23,177,69,1954,413,Chelsea
J. Pickford,Jordan Pickford,82,84,26000000,GK,GK,England,28,185,77,1503,466,Everton
Sergi Darder,Sergi Darder Moll,82,82,30500000,"CM,CDM,CAM",CM,Spain,28,180,71,2188,472,RCD Espanyol de Barcelona
W. Orban,Willi Orban,82,82,25500000,CB,CB,Hungary,29,186,87,1697,367,RB Leipzig
I. Gueye,Idrissa Gueye,82,82,20500000,"CDM,CM",CDM,Senegal,32,174,66,2092,442,Everton
Z. Ibrahimović,Zlatan Ibrahimović,82,82,0,ST,ST,Sweden,40,195,102,1967,402,AC Milan
Iñigo Martínez,Iñigo Martínez Berridi,82,82,21000000,CB,CB,Spain,31,182,77,1992,417,Athletic Club de Bilbao
Ł. Fabiański,Łukasz Fabiański,82,82,3400000,GK,GK,Poland,37,190,83,1260,449,West Ham United
I. Rakitić,Ivan Rakitić,82,82,14000000,CM,CM,Croatia,34,184,78,2131,440,Sevilla FC
D. Payet,Dimitri Payet,82,82,12500000,"CAM,LW,ST",CAM,France,35,175,77,2015,420,Olympique de Marseille
Rui Patrício,Rui Pedro dos Santos Patrício,82,82,5000000,GK,GK,Portugal,34,190,84,1368,457,Roma
O. Giroud,Olivier Giroud,82,82,13000000,ST,ST,France,35,192,93,1928,390,AC Milan
S. Kjær,Simon Kjær,82,82,14500000,CB,CB,Denmark,33,190,86,1871,402,AC Milan
Yuri Berchiche,Yuri Berchiche Izeta,82,82,21000000,LB,LB,Spain,32,181,80,2176,462,Athletic Club de Bilbao
T. Alderweireld,Toby Alderweireld,82,82,14500000,CB,CB,Belgium,33,186,81,1975,409,Royal Antwerp FC
M. Arnautović,Marko Arnautović,82,82,19500000,ST,ST,Austria,33,192,83,2110,444,Bologna
Azpilicueta,César Azpilicueta Tanco,82,82,20000000,"CB,RWB,RB",CB,Spain,32,178,77,2063,427,Chelsea
Coutinho,Philippe Coutinho Correia,82,82,29500000,"CAM,LW,CM",CAM,Brazil,30,172,68,2076,420,Aston Villa
C. Eriksen,Christian Eriksen,82,82,29000000,"CM,CAM,CDM",CM,Denmark,30,181,76,1999,412,Manchester United
Raúl Albiol,Raúl Albiol Tortajada,82,82,5500000,CB,CB,Spain,36,190,82,1710,360,Villarreal CF
S. Coates,Sebastián Coates,82,82,21000000,CB,CB,Uruguay,31,196,94,1803,405,Sporting CP
L. Digne,Lucas Digne,82,82,27500000,LB,LB,France,28,178,74,2206,459,Aston Villa
Isco,Francisco Román Alarcón Suárez,82,82,29500000,"CAM,LW,CM",CAM,Spain,30,176,79,2051,425,Sevilla FC
G. Kondogbia,Geoffrey Kondogbia,82,82,29500000,"CM,CDM,CB",CDM,Central African Republic,29,188,76,2181,465,Atlético de Madrid
Gabriel Paulista,Gabriel Armando de Abreu,82,82,21000000,CB,CB,Brazil,31,185,72,1971,419,Valencia CF
Nacho Fernández,José Ignacio Fernández Iglesias,82,82,20000000,"CB,LB",CB,Spain,32,180,76,1892,413,Real Madrid CF
K. Volland,Kevin Volland,82,82,30500000,"ST,CF,CAM",ST,Germany,29,179,85,2116,444,AS Monaco
L. Spinazzola,Leonardo Spinazzola,82,82,27000000,"LWB,LM",LWB,Italy,29,186,75,2105,455,Roma
S. Berghuis,Steven Berghuis,82,82,29500000,"CAM,RW",CAM,Netherlands,30,182,75,2065,436,Ajax
A. Lopes,Anthony Lopes,82,82,16000000,GK,GK,Portugal,31,184,81,1377,462,Olympique Lyonnais
L. Muriel,Luis Muriel,82,82,25500000,ST,ST,Colombia,31,179,79,2002,426,Atalanta
W. Zaha,Wilfried Zaha,82,82,30000000,"LW,CF",LW,Côte d'Ivoire,29,180,66,2007,442,Crystal Palace
F. Acerbi,Francesco Acerbi,82,82,10000000,CB,CB,Italy,34,192,88,1840,403,Inter
E. Ndicka,Evan Ndicka,81,85,34000000,CB,CB,France,22,192,82,1947,435,Eintracht Frankfurt
T. Souček,Tomáš Souček,81,83,28000000,"CDM,CM",CB,Czech Republic,27,192,86,2076,441,West Ham United
A. Barák,Antonín Barák,81,82,30000000,"CF,CM",CAM,Czech Republic,27,190,86,2144,454,Fiorentina
M. Terrier,Martin Terrier,81,84,34000000,"LW,ST",ST,France,25,184,78,1977,425,Stade Rennais FC
D. Raum,David Raum,81,85,34500000,"LWB,LM,LB",LWB,Germany,24,180,75,2057,449,RB Leipzig
Y. Bissouma,Yves Bissouma,81,86,34500000,"CDM,CM",CDM,Mali,25,182,80,2135,451,Tottenham Hotspur
A. Areola,Alphonse Areola,81,82,20000000,GK,GK,France,29,195,94,1370,456,West Ham United
I. Sangaré,Ibrahim Sangaré,81,86,35500000,"CDM,CM",CDM,Côte d'Ivoire,24,191,77,2087,447,PSV
J. Corona,Jesús Corona,81,81,25500000,"RW,LW",RW,Mexico,29,173,66,2175,453,Sevilla FC
T. Delaney,Thomas Delaney,81,81,21500000,"CDM,CM",CDM,Denmark,30,182,79,2177,453,Sevilla FC
A. Lacazette,Alexandre Lacazette,81,81,22000000,ST,ST,France,31,175,73,2050,428,Olympique Lyonnais
N. Zaniolo,Nicolò Zaniolo,81,88,53000000,"CF,RW,RM",CAM,Italy,22,190,75,2092,461,Roma
Neto,Norberto Murara Neto,81,81,13000000,GK,GK,Brazil,32,190,84,1323,449,AFC Bournemouth
I. Konaté,Ibrahima Konaté,81,88,48000000,CB,CB,France,23,194,95,1743,398,Liverpool
Pedro Porro,Pedro Antonio Porro Sauceda,81,87,38500000,"RWB,RM",RWB,Spain,22,173,69,2144,461,Sporting CP
Cucurella,Marc Cucurella Saseta,81,85,34500000,"LB,CB,LM",LWB,Spain,23,172,66,2132,453,Chelsea
L. Martínez,Lisandro Martínez,81,86,35000000,"CB,LB,CDM",CDM,Argentina,24,178,77,2119,450,Manchester United
Matheus Cunha,Matheus Santos Carneiro Da Cunha,81,86,39500000,"ST,CAM,LM",CAM,Brazil,23,184,75,2018,431,Atlético de Madrid
Pedro Gonçalves,Pedro António Pereira Gonçalves,81,86,39000000,"RW,LW,CF",CAM,Portugal,24,173,77,2089,440,Sporting CP
M. Taremi,Mehdi Taremi,81,81,25500000,"ST,CF",ST,Iran,29,186,83,1959,422,FC Porto
Rodrygo,Rodrygo Silva de Goes,81,88,52500000,"RW,LW",RM,Brazil,21,174,64,1950,410,Real Madrid CF
E. Tapsoba,Edmond Tapsoba,81,86,35000000,CB,CB,Burkina Faso,23,192,84,1914,421,Bayer 04 Leverkusen
D. Kulusevski,Dejan Kulusevski,81,87,41500000,"RW,CF",CAM,Sweden,22,186,75,2091,449,Tottenham Hotspur
Bruno Guimarães,Bruno Guimarães Moura,81,86,38500000,"CM,CDM",CM,Brazil,24,182,74,2110,449,Newcastle United
J. Gvardiol,Joško Gvardiol,81,89,53000000,"CB,LB",CB,Croatia,20,185,80,2037,442,RB Leipzig
J. Musiala,Jamal Musiala,81,90,55500000,"CM,LM,CAM",CAM,Germany,19,183,70,2012,434,FC Bayern München
S. Obisanya,Sam Obisanya,81,88,52500000,"RM,RB",RM,Nigeria,22,185,77,2176,466,AFC Richmond
Pablo Sarabia,Pablo Sarabia García,81,81,25000000,"RW,CAM,LW",RW,Spain,30,174,70,2036,429,Paris Saint-Germain
Marc Bartra,Marc Bartra Aregall,81,81,17500000,CB,CB,Spain,31,184,73,2044,433,Trabzonspor
Felipe,Felipe Augusto de Almeida Monteiro,81,81,12500000,CB,CB,Brazil,33,190,84,1771,386,Atlético de Madrid
H. Maguire,Harry Maguire,81,82,24000000,CB,CB,England,29,194,100,1924,404,Manchester United
Heberto Gaúcho,Juan Heberto Mestres de Mesquita,81,81,24500000,"CB,CDM",CB,Brazil,26,181,82,2003,414,Clube Atlético Mineiro
Oswaldinato,Marvin Oswaldo Rangel Azevedo,81,81,25500000,ST,ST,Brazil,30,184,79,1874,399,Flamengo
Nailton Padrenda,Nailton Padrenda Mendes,81,81,28000000,"CAM,CF,ST",CAM,Brazil,26,180,75,2005,436,Clube Atlético Mineiro
Welington Dano,Welington Kauê Dano Nascimento,81,81,27500000,"LB,LM",LB,Brazil,22,178,69,2068,437,Clube Atlético Mineiro
Adriano Bisesi,Louri Adriano Bisesi Barbosa,81,81,25500000,"ST,CF",ST,Brazil,30,188,83,1904,400,RB Bragantino
Rosival Dourado,Rosival Jailson Dourado Santos,81,81,27000000,"CDM,CM,CAM",CDM,Brazil,22,175,70,2033,435,Sport Club Corinthians Paulista
Adryan Zonta,Adryan Juliano Zonta Torres,81,81,22000000,"LWB,LB",LWB,Brazil,30,172,68,2133,459,RB Bragantino
G. Mancini,Gianluca Mancini,81,83,28000000,CB,CB,Italy,26,190,77,1749,389,Roma
G. Rodríguez,Guido Rodríguez,81,82,26500000,CDM,CDM,Argentina,27,185,80,1895,408,Real Betis Balompié
D. Upamecano,Dayot Upamecano,81,87,37000000,CB,CB,France,23,186,90,1840,415,FC Bayern München
Palhinha,João Maria Palhinha Gonçalves,81,83,28500000,"CDM,CM",CB,Portugal,26,190,85,2026,441,Fulham
D. Zakaria,Denis Zakaria,81,86,34500000,"CDM,CM",CDM,Switzerland,25,191,81,2053,461,Chelsea
M. Akanji,Manuel Akanji,81,82,26500000,CB,CB,Switzerland,26,187,91,1964,430,Manchester City
A. Zambo Anguissa,André-Franck Zambo Anguissa,81,83,28500000,"CDM,CM",CDM,Cameroon,26,184,78,2113,462,Napoli
K. Tierney,Kieran Tierney,81,85,33000000,LB,LWB,Scotland,25,178,70,2096,452,Arsenal
M. Rashford,Marcus Rashford,81,85,37000000,"LW,ST",ST,England,24,186,70,2072,437,Manchester United
Richarlison,Richarlison de Andrade,81,84,34500000,"ST,LW",ST,Brazil,25,181,71,2109,447,Tottenham Hotspur
Gabriel,Gabriel dos S. Magalhães,81,87,37000000,CB,CB,Brazil,24,190,87,1728,385,Arsenal
H. Mkhitaryan,Henrikh Mkhitaryan,81,81,16000000,"CAM,CM",CAM,Armenia,33,177,75,2125,450,Inter
N. Otamendi,Nicolás Otamendi,81,81,8500000,CB,CB,Argentina,34,182,78,1896,405,SL Benfica
M. Götze,Mario Götze,81,81,25000000,"CAM,ST,CM",CAM,Germany,30,176,72,2071,430,Eintracht Frankfurt
C. Smalling,Chris Smalling,81,81,16500000,CB,CB,England,32,194,81,1803,390,Roma
N. Pope,Nick Pope,81,81,17000000,GK,GK,England,30,199,76,1286,449,Newcastle United
Rafael Tolói,Rafael Tolói,81,81,17500000,CB,CB,Italy,31,185,75,1921,407,Atalanta
E. Cavani,Edinson Cavani,81,81,11000000,ST,ST,Uruguay,35,185,77,2014,408,Valencia CF
É. Banega,Éver Banega,81,81,12000000,"CM,CDM,CAM",CM,Argentina,34,176,78,2145,448,Al Shabab
Adán,Antonio Adán Garrido,81,81,2900000,GK,GK,Spain,35,190,94,1324,457,Sporting CP
G. Bale,Gareth Bale,81,81,20500000,"RW,RM",ST,Wales,32,185,82,2157,448,Los Angeles FC
J. Vertonghen,Jan Vertonghen,81,81,7000000,CB,CB,Belgium,35,191,89,2040,431,RSC Anderlecht
C. Vela,Carlos Vela,81,81,16000000,"RW,LW,CAM",RW,Mexico,33,177,77,1962,409,Los Angeles FC
João Moutinho,João Filipe Moutinho,81,81,10500000,CM,CM,Portugal,35,170,61,2111,418,Wolverhampton Wanderers
Pepe,Képler Laveran Lima Ferreira,81,81,4600000,CB,CB,Portugal,39,187,79,1883,417,FC Porto
G. Lo Celso,Giovani Lo Celso,81,83,31500000,"CM,ST,LM",CAM,Argentina,26,177,68,2162,453,Villarreal CF
Oscar,Oscar dos Santos Emboaba,81,81,25000000,"CAM,CM,LW",CAM,Brazil,30,179,70,2152,448,Shanghai Port FC
J. Gomez,Joe Gomez,81,86,34000000,"CB,RB",CB,England,25,188,77,1802,405,Liverpool
José Sá,José Pedro Malheiro de Sá,81,82,20000000,GK,GK,Portugal,29,192,84,1337,448,Wolverhampton Wanderers
Borja Iglesias,Borja Iglesias Quintás,81,81,25500000,ST,ST,Spain,29,187,86,1921,408,Real Betis Balompié
J. Ward-Prowse,James Ward-Prowse,81,82,29500000,CM,CM,England,27,173,66,2149,437,Southampton
L. Ocampos,Lucas Ocampos,81,81,27500000,"RW,LW",RW,Argentina,27,188,84,2188,465,Ajax
E. Višća,Edin Višća,81,81,20500000,"RM,RW",RM,Bosnia and Herzegovina,32,172,63,2070,436,Trabzonspor
T. Savanier,Téji Savanier,81,81,25000000,"CAM,CM",CAM,France,30,172,69,2150,444,Montpellier Hérault SC
E. Forsberg,Emil Forsberg,81,81,25000000,"CAM,CF,ST",CAM,Sweden,30,177,76,1946,407,RB Leipzig
Lucas Vázquez,Lucas Vázquez Iglesias,81,81,18500000,"RB,RW",RB,Spain,31,173,70,2152,456,Real Madrid CF
G. Laborde,Gaëtan Laborde,81,81,26500000,ST,ST,France,28,181,78,2041,429,OGC Nice
J. Hofmann,Jonas Hofmann,81,81,25500000,"CAM,RM,LM",CAM,Germany,29,176,73,2093,445,Borussia Mönchengladbach
N. Tagliafico,Nicolás Tagliafico,81,81,22500000,LB,LB,Argentina,29,172,65,2072,443,Olympique Lyonnais
K. Demirbay,Kerem Demirbay,81,81,25500000,"CM,CDM,CAM",CM,Germany,28,183,75,2171,451,Bayer 04 Leverkusen
O. Vlachodimos,Odisseas Vlachodimos,81,83,22000000,GK,GK,Greece,28,190,81,1258,434,SL Benfica
V. Grifo,Vincenzo Grifo,81,81,25500000,"LM,CF",LM,Italy,29,180,76,1997,413,Sport-Club Freiburg
R. Andrich,Robert Andrich,81,82,26500000,"CDM,CM",CDM,Germany,27,186,86,2156,452,Bayer 04 Leverkusen
R. Le Normand,Robin Le Normand,81,86,34000000,CB,CB,France,25,187,81,1623,362,Real Sociedad
Ricardo Horta,Ricardo Jorge da Luz Horta,81,81,28000000,"CF,ST,LW",CF,Portugal,27,173,63,2074,433,SC Braga
S. Lobotka,Stanislav Lobotka,81,82,29500000,"CM,CDM",CM,Slovakia,27,170,64,2080,442,Napoli
K. Phillips,Kalvin Phillips,81,85,32000000,"CDM,CM",CDM,England,26,178,72,2100,445,Manchester City
M. Uribe,Mateus Uribe,81,81,21000000,"CM,CDM",CM,Colombia,31,183,77,2191,467,FC Porto
L. Torreira,Lucas Torreira,81,83,28500000,"CDM,CM",CDM,Uruguay,26,166,60,2114,452,Galatasaray SK
M. Pašalić,Mario Pašalić,81,81,27500000,"CAM,CF,CM",CAM,Croatia,27,188,82,2115,454,Atalanta
N. Keïta,Naby Keïta,81,82,29500000,CM,CAM,Guinea,27,172,64,2087,442,Liverpool
C. Tolisso,Corentin Tolisso,81,81,27500000,"CM,CDM",CM,France,27,181,81,2193,457,Olympique Lyonnais
H. Lozano,Hirving Lozano,81,81,28000000,RW,RW,Mexico,26,175,70,2013,426,Napoli
M. Politano,Matteo Politano,81,81,26000000,"RW,RM",RW,Italy,28,171,67,1994,419,Napoli
A. Saint-Maximin,Allan Saint-Maximin,81,83,32500000,LM,CAM,France,25,173,67,1916,419,Newcastle United
S. Fofana,Seko Fofana,81,81,27500000,CM,CM,Côte d'Ivoire,27,185,74,2118,460,Racing Club de Lens
Iñaki Williams,Iñaki Williams Arthuer,81,81,26500000,ST,ST,Ghana,28,186,80,2055,443,Athletic Club de Bilbao
J. Musso,Juan Musso,81,82,20500000,GK,GK,Argentina,28,191,93,1222,445,Atalanta
B. Bourigeaud,Benjamin Bourigeaud,81,81,26000000,"RW,RM,LM",RW,France,28,178,70,2194,459,Stade Rennais FC
Y. En-Nesyri,Youssef En-Nesyri,80,85,31500000,ST,ST,Morocco,25,188,78,1881,402,Sevilla FC
Javi Galán,Javier Galán Gil,80,80,20500000,LB,LB,Spain,27,172,70,2042,435,RC Celta de Vigo
F. Neuhaus,Florian Neuhaus,80,84,29000000,CM,CM,Germany,25,185,77,2030,433,Borussia Mönchengladbach
H. Barnes,Harvey Barnes,80,83,29000000,"LM,LW",CAM,England,24,180,66,1971,428,Leicester City
A. Isak,Alexander Isak,80,85,33000000,ST,ST,Sweden,22,192,77,1905,410,Newcastle United
L. Sinisterra,Luis Sinisterra,80,86,33500000,"LW,LM",LW,Colombia,23,172,60,2035,435,Leeds United
X. Schlager,Xaver Schlager,80,84,27500000,"CDM,CM",CDM,Austria,24,174,78,2058,441,RB Leipzig
D. Kamada,Daichi Kamada,80,82,26500000,"CAM,CF",CAM,Japan,25,184,76,1960,411,Eintracht Frankfurt
M. Arambarri,Mauro Arambarri,80,85,28000000,"CDM,CM",CDM,Uruguay,26,175,74,2006,426,Getafe CF
A. Lafont,Alban Lafont,80,85,25500000,GK,GK,France,23,196,90,1259,438,FC Nantes
Maikel Catarino,Maikel Renan Catarino Fagundes,80,80,21000000,"RB,RM",RB,Brazil,26,177,75,1954,421,Sport Club Corinthians Paulista
Renato Sanches,Renato Júnior Luz Sanches,80,85,31500000,"CM,RM",CAM,Portugal,24,176,70,2215,474,Paris Saint-Germain
Arthur,Arthur Henrique Ramos Oliveira Melo,80,82,26500000,"CM,CDM",CM,Brazil,25,171,73,2129,443,Liverpool
Tony Abranjes,Tony Josimar Abranjes Meneses,80,80,7000000,CB,CB,Brazil,34,179,80,1788,385,Internacional
Laure Santeiro,Laureano Thomas Santeiro Marre,80,80,25000000,"CAM,LM,LW",CAM,Brazil,22,171,63,1834,382,Fluminense
Héniton Pires,Héniton Enaldo Pires Tramontino,80,80,16500000,GK,GK,Brazil,26,182,74,1264,435,Flamengo
M. Guendouzi,Mattéo Guendouzi,80,86,33000000,"CM,CDM",CDM,France,23,185,68,2127,452,Olympique de Marseille
L. Bailey,Leon Bailey,80,83,29000000,"RM,RW,LW",CAM,Jamaica,24,178,77,1991,421,Aston Villa
A. Wan-Bissaka,Aaron Wan-Bissaka,80,83,26500000,RB,RB,England,24,183,72,1942,424,Manchester United
D. Sow,Djibril Sow,80,82,26500000,"CM,CDM",CM,Switzerland,25,184,76,2122,458,Eintracht Frankfurt
Mario Hermoso,Mario Hermoso Canseco,80,82,22500000,"CB,LB",CB,Spain,27,184,76,1991,429,Atlético de Madrid
D. Calabria,Davide Calabria,80,83,25500000,RB,RB,Italy,25,177,70,2033,432,AC Milan
E. Álvarez,Edson Álvarez,80,84,27500000,"CDM,CM",CB,Mexico,24,187,73,1979,432,Ajax
T. Koopmeiners,Teun Koopmeiners,80,84,30000000,"CM,CDM",CM,Netherlands,24,183,77,2170,451,Atalanta
B. Kamara,Boubacar Kamara,80,86,31000000,CDM,CDM,France,22,184,68,1975,427,Aston Villa
V. Tsygankov,Viktor Tsygankov,80,85,32000000,RM,CAM,Ukraine,24,178,72,1975,422,Dynamo Kyiv
M. Dmitrović,Marko Dmitrović,80,81,16000000,GK,GK,Serbia,30,194,94,1299,432,Sevilla FC
I. McAdoo,Isaac McAdoo,80,83,24500000,CB,CB,England,26,184,89,1834,400,AFC Richmond
J. Frimpong,Jeremie Frimpong,80,86,31500000,"RB,RWB",RM,Netherlands,21,171,64,2027,446,Bayer 04 Leverkusen
Nuno Mendes,Nuno Alexandre Tavares Mendes,80,88,44000000,"LB,LWB",LB,Portugal,20,176,70,2065,444,Paris Saint-Germain
S. Botman,Sven Botman,80,86,31000000,CB,CB,Netherlands,22,193,81,1741,381,Newcastle United
J. Timber,Jurriën Timber,80,88,44500000,"CB,RB",CB,Netherlands,21,179,77,1950,435,Ajax
Renan Lodi,Renan Augusto Lodi dos Santos,80,85,29500000,"LB,LM",LWB,Brazil,24,173,68,2151,456,Nottingham Forest
Reguilón,Sergio Reguilón Rodríguez,80,83,25500000,"LWB,LB",LWB,Spain,25,178,68,2020,438,Atlético de Madrid
V. Coufal,Vladimír Coufal,80,80,18500000,"RB,RWB",RB,Czech Republic,29,175,76,2072,436,West Ham United
A. Rrahmani,Amir Rrahmani,80,80,18000000,CB,CB,Kosovo,28,192,83,1788,393,Napoli
S. McTominay,Scott McTominay,80,83,25000000,"CDM,CM",CDM,Scotland,25,193,88,2093,449,Manchester United
L. Majer,Lovro Majer,80,85,31500000,CM,CAM,Croatia,24,178,76,2067,433,Stade Rennais FC
W. Saliba,William Saliba,80,87,40000000,CB,CB,France,21,192,85,1834,414,Arsenal
D. Livaković,Dominik Livaković,80,83,20500000,GK,GK,Croatia,27,187,79,1319,444,Dinamo Zagreb
R. Baku,Ridle Baku,80,84,30000000,"RM,RB,CM",RM,Germany,24,176,75,2122,457,VfL Wolfsburg
N. González,Nicolás González,80,85,32000000,"RW,LW",LM,Argentina,24,180,72,1971,425,Fiorentina
E. Smith Rowe,Emile Smith Rowe,80,87,43000000,"LM,CAM",CAM,England,21,182,72,1830,399,Arsenal
J. Clauss,Jonathan Clauss,80,80,18500000,RWB,RWB,France,29,178,69,2095,446,Olympique de Marseille
W. McKennie,Weston McKennie,80,85,31500000,"CM,LM",CM,United States,23,183,84,2212,473,Juventus
N. Milenković,Nikola Milenković,80,85,29000000,CB,CB,Serbia,24,195,90,1766,397,Fiorentina
N. Aguerd,Nayef Aguerd,80,83,24500000,CB,CB,Morocco,26,188,76,1898,409,West Ham United
Nélson Semedo,Nélson Cabral Semedo,80,80,19000000,"RWB,RB",RWB,Portugal,28,177,69,2012,438,Wolverhampton Wanderers
C. Aránguiz,Charles Aránguiz,80,80,10500000,"CDM,CM",CDM,Chile,33,171,69,2099,420,Bayer 04 Leverkusen
Lucas Moura,Lucas Rodrigues M. Silva,80,80,20500000,RW,RW,Brazil,29,174,70,2090,435,Tottenham Hotspur
Jonathan Viera,Jonathan Viera Ramos,80,80,16500000,"CAM,CM,LM",CAM,Spain,32,171,67,2131,450,Unión Deportiva Las Palmas
Danilo,Danilo Luiz da Silva,80,80,18000000,RB,RB,Brazil,30,184,78,2118,446,Juventus
Sergi Roberto,Sergio Roberto Carnicer,80,80,18000000,"RB,CM",RB,Spain,30,178,68,2055,440,FC Barcelona
Allan,Allan Marques Loureiro,80,80,15000000,"CDM,CM",CDM,Brazil,31,175,74,2081,447,Everton
J. Cillessen,Jasper Cillessen,80,80,7000000,GK,GK,Netherlands,33,185,83,1319,447,N.E.C. Nijmegen
H. Vanaken,Hans Vanaken,80,80,20500000,"CM,CAM",CM,Belgium,29,195,80,2009,413,Club Brugge KV
S. Ortega,Stefan Ortega,80,80,14500000,GK,GK,Germany,29,185,88,1400,453,Manchester City
Danilo Pereira,Danilo Luís Hélio Pereira,80,80,17500000,"CDM,CM",CDM,Portugal,30,188,83,1983,424,Paris Saint-Germain
Morata,Álvaro Borja Morata Martín,80,80,21000000,ST,ST,Spain,29,190,84,1926,416,Atlético de Madrid
L. Shaw,Luke Shaw,80,81,22500000,LB,LB,England,26,181,75,2082,443,Manchester United
C. Biraghi,Cristiano Biraghi,80,80,18500000,LB,LB,Italy,29,185,78,2159,453,Fiorentina
E. Dier,Eric Dier,80,81,20000000,CB,CB,England,28,188,90,1989,417,Tottenham Hotspur
Deulofeu,Gerard Deulofeu Lázaro,80,80,21500000,"CF,ST",RW,Spain,28,177,73,1963,423,Udinese Calcio
T. Hazard,Thorgan Hazard,80,80,20500000,"LM,CF",LM,Belgium,29,175,71,2059,431,Borussia Dortmund
T. Vaclík,Tomáš Vaclík,80,80,0,GK,GK,Czech Republic,33,188,85,1309,432,Free agent
Edgar Badia,Edgar Badia Guardiola,80,81,16000000,GK,GK,Spain,30,180,70,1257,437,Elche CF
K. Zouma,Kurt Zouma,80,82,22500000,CB,CB,France,27,190,95,1886,395,West Ham United
M. Sabitzer,Marcel Sabitzer,80,80,21000000,"CM,CDM,CAM",CM,Austria,28,178,76,2172,453,FC Bayern München
K. Kampl,Kevin Kampl,80,80,17500000,"CM,CDM",CM,Slovenia,31,178,66,2048,423,RB Leipzig
A. Delort,Andy Delort,80,80,20500000,ST,ST,Algeria,30,181,83,2012,429,OGC Nice
B. Leno,Bernd Leno,80,80,14000000,GK,GK,Germany,30,190,83,1339,450,Fulham
Alex Sandro,Alex Sandro Lobo Silva,80,80,15500000,LB,LB,Brazil,31,180,80,2101,446,Juventus
Yeray,Yeray Álvarez López,80,82,22500000,CB,CB,Spain,27,182,79,1903,400,Athletic Club de Bilbao
G. Ochoa,Guillermo Ochoa,80,80,0,GK,GK,Mexico,36,185,78,1265,440,Free agent
H. Herrera,Héctor Herrera,80,80,16500000,CM,CM,Mexico,32,185,78,2123,451,Houston Dynamo
A. Consigli,Andrea Consigli,80,80,2300000,GK,GK,Italy,35,189,82,1198,433,U.S. Sassuolo Calcio
Raúl García,Raúl García Escudero,80,80,9000000,ST,CM,Spain,35,184,83,2133,421,Athletic Club de Bilbao
José Fonte,José Miguel da Rocha Fonte,80,80,3800000,CB,CB,Portugal,38,191,81,1736,363,LOSC Lille
M. Hamšík,Marek Hamšík,80,80,9500000,"CM,CDM,CAM",CM,Slovakia,34,183,73,2135,445,Trabzonspor
A. Candreva,Antonio Candreva,80,80,8500000,"RM,CM",RM,Italy,35,180,70,2063,433,US Salernitana 1919
S. Mignolet,Simon Mignolet,80,80,3600000,GK,GK,Belgium,34,193,87,1304,447,Club Brugge KV
Joselu,José Luis Sanmartín Mato,80,80,17000000,ST,ST,Spain,32,192,80,1888,393,RCD Espanyol de Barcelona
D. Ospina,David Ospina,80,80,7000000,GK,GK,Colombia,33,183,80,1203,430,Al Nassr
E. Capoue,Etienne Capoue,80,80,13000000,"CM,CDM",CM,France,33,190,80,2090,436,Villarreal CF
G. Wijnaldum,Georginio Wijnaldum,80,80,17500000,"CM,CDM",CM,Netherlands,31,175,74,2193,452,Roma
M. Kruse,Max Kruse,80,80,10500000,"CF,CAM",CAM,Germany,34,180,76,1974,399,VfL Wolfsburg
M. Darmian,Matteo Darmian,80,80,14500000,"RWB,RM",RWB,Italy,32,182,70,1997,426,Inter
F. Coquelin,Francis Coquelin,80,80,17500000,"CM,LM,CDM",CM,France,31,176,74,2119,451,Villarreal CF
D. Blind,Daley Blind,80,80,13500000,"CB,LB,CDM",CDM,Netherlands,32,180,72,2069,416,Ajax
A. Cragno,Alessio Cragno,80,81,16500000,GK,GK,Italy,28,184,78,1219,433,AC Monza
R. Freuler,Remo Freuler,80,80,20000000,"CM,CDM",CM,Switzerland,30,181,80,2059,441,Nottingham Forest
M. Arnold,Maximilian Arnold,80,81,20500000,"CDM,CM",CM,Germany,28,184,74,2154,452,VfL Wolfsburg
V. Lindelöf,Victor Lindelöf,80,81,21000000,CB,CDM,Sweden,27,187,80,1945,412,Manchester United
Álex Moreno,Alexandre Moreno Lopera,80,80,18500000,LB,LB,Spain,29,179,68,2096,449,Real Betis Balompié
M. Dahoud,Mahmoud Dahoud,80,82,26000000,"CM,CDM",CM,Germany,26,178,68,2082,438,Borussia Dortmund
J. Ledesma,Jeremías Conan Ledesma,80,82,17500000,GK,GK,Argentina,29,186,83,1266,438,Cádiz CF
H. Traoré,Hamari Traoré,80,80,18000000,RB,RB,Mali,30,175,70,2042,441,Stade Rennais FC
A. Rebić,Ante Rebić,80,80,21000000,"LW,LM,ST",ST,Croatia,28,185,78,2084,449,AC Milan
